"TaskType","Confidence","TreatmentType","ConversationId","ResponseId","Response"
1,"HighOnly",0,15,"3GLB5JMZFYRW3YPAQN0FGGT9MKKDGT","Oh ok better to be safe."
1,"HighOnly",2,1,"3COPXFW7XC8AUHOJLNCPE22R7K5KPI","Oh no :(  What's going on?  I'll skip drinks and come home."
1,"HighOnly",2,2,"3COPXFW7XC8AUHOJLNCPE22R7K5KPI","Sorry Mom.  I'll come home"
1,"HighOnly",2,3,"3COPXFW7XC8AUHOJLNCPE22R7K5KPI","He sux  - What'd he do this time?"
1,"HighOnly",2,4,"3COPXFW7XC8AUHOJLNCPE22R7K5KPI","Wasn't me bro.  Who else saw you?"
1,"HighOnly",2,5,"3COPXFW7XC8AUHOJLNCPE22R7K5KPI","JErk!  Did you confront him?"
1,"HighOnly",0,6,"3COPXFW7XC8AUHOJLNCPE22R7K5KPI","Didn't mean it that way! lol  I knew it was you!  Now we can do coffee again!"
1,"HighOnly",0,7,"3COPXFW7XC8AUHOJLNCPE22R7K5KPI","OMG!  That sucks! I'm sorry :("
1,"HighOnly",0,8,"3COPXFW7XC8AUHOJLNCPE22R7K5KPI","Sorry :("
1,"HighOnly",0,9,"3COPXFW7XC8AUHOJLNCPE22R7K5KPI","Absolutely - what's going on?"
1,"HighOnly",0,10,"3COPXFW7XC8AUHOJLNCPE22R7K5KPI","That stinks!  I hate the rain!"
1,"HighOnly",0,11,"3COPXFW7XC8AUHOJLNCPE22R7K5KPI","Shut up :P"
1,"HighOnly",0,12,"3COPXFW7XC8AUHOJLNCPE22R7K5KPI","Idk - just need some time to myself.  Go on without me.  Ttyl"
1,"HighOnly",0,13,"3COPXFW7XC8AUHOJLNCPE22R7K5KPI","I know - not sure what to do now :("
1,"HighOnly",0,14,"3COPXFW7XC8AUHOJLNCPE22R7K5KPI","Ok - call you in a bit"
1,"HighOnly",0,15,"3COPXFW7XC8AUHOJLNCPE22R7K5KPI","That stinks!  I hope it turns up."
1,"HighOnly",2,1,"3NJM2BJS4X2SBJCVTAVRQJPJ2CZCP2","I'll prepare myself"
1,"HighOnly",2,2,"3NJM2BJS4X2SBJCVTAVRQJPJ2CZCP2","I'm sorry, I'll clean it up."
1,"HighOnly",2,3,"3NJM2BJS4X2SBJCVTAVRQJPJ2CZCP2","you should look for another job"
1,"HighOnly",2,4,"3NJM2BJS4X2SBJCVTAVRQJPJ2CZCP2","Calm down"
1,"HighOnly",2,5,"3NJM2BJS4X2SBJCVTAVRQJPJ2CZCP2","Lets hang out to forget about it"
1,"HighOnly",0,6,"3NJM2BJS4X2SBJCVTAVRQJPJ2CZCP2","Why couldn't you just tell me?"
1,"HighOnly",0,7,"3NJM2BJS4X2SBJCVTAVRQJPJ2CZCP2","I'm sorry"
1,"HighOnly",0,8,"3NJM2BJS4X2SBJCVTAVRQJPJ2CZCP2","K yourself"
1,"HighOnly",0,9,"3NJM2BJS4X2SBJCVTAVRQJPJ2CZCP2","Yeah, what do you need help with?"
1,"HighOnly",0,10,"3NJM2BJS4X2SBJCVTAVRQJPJ2CZCP2","You should go home and dry yourself off"
1,"HighOnly",0,11,"3NJM2BJS4X2SBJCVTAVRQJPJ2CZCP2","Don't worry"
1,"HighOnly",0,12,"3NJM2BJS4X2SBJCVTAVRQJPJ2CZCP2","Not really"
1,"HighOnly",0,13,"3NJM2BJS4X2SBJCVTAVRQJPJ2CZCP2","I know, what should we do?"
1,"HighOnly",0,14,"3NJM2BJS4X2SBJCVTAVRQJPJ2CZCP2","See you then"
1,"HighOnly",0,15,"3NJM2BJS4X2SBJCVTAVRQJPJ2CZCP2","That's smart"
1,"Default",1,1,"3NKQQ8O39Z1F8GQ5ASPWKVU0VT9UDM","I'll bring you a surprise, be there soon."
1,"Default",1,2,"3NKQQ8O39Z1F8GQ5ASPWKVU0VT9UDM","I'm sorry Mom, I'll do better."
1,"Default",1,3,"3NKQQ8O39Z1F8GQ5ASPWKVU0VT9UDM","Maybe you should start filling out job apps, who knows!"
1,"Default",1,4,"3NKQQ8O39Z1F8GQ5ASPWKVU0VT9UDM","It wasn't me man, that blows."
1,"Default",1,5,"3NKQQ8O39Z1F8GQ5ASPWKVU0VT9UDM","Wow, I would break up with him before he can break up with you :("
